전국 공공도서관 2026년 8월 대출 현황
※ 교육용 가상 자료: 도서관 이름과 수치는 실제와 무관함
도서관,시도,우편번호,개관일,열람석,대출권수,이용자수
누리도서관,서울,04157,2004.03.15,320,"48,215",12904
한빛도서관,서울,02831,1998.11.02,410,"61,530",15220
가람도서관,경기,16489,2011.06.20,250,"35,108",9870
솔빛도서관,인천,21554,2015.09.01,180,"22,764",6412
새봄도서관,강원,24341,2009.04.10,150,"18,356",5127
다온도서관,대전,34126,2013.12.05,280,"39,427",10366
마루도서관,대전,35233,2001.07.23,360,"44,902",11843
온새미도서관,세종,30151,2016.03.28,300,"41,275",11508
하늬도서관,충남,31116,2007.10.16,200,"26,843",7295
초록도서관,충남,32588,2012.05.30,160,"17,690",4870
별빛도서관,충북,28644,2005.08.19,210,"25,318",6934
여울도서관,전북,54896,1999.02.11,190,-,-
바다도서관,전남,58746,2010.11.25,140,"15,203",4318
이음도서관,경남,51429,2014.06.09,230,"29,764",8152
푸른도서관,부산,48058,2003.09.17,340,"47,831",12675
물결도서관,울산,44677,2017.01.20,170,"21,045",5963
고운도서관,경북,37673,2008.04.03,130,"12,987",3701
달빛도서관,대구,41931,2006.12.14,290,"38,420",10214
은하도서관,광주,61452,2002.10.08,260,"33,196",9048
청솔도서관,서울,06267,2019.05.24,220,"30,574",8467
합계,,,,4790,"610,448",164887
※ 휴관 중인 도서관은 '-'로 표시함, 이용자수는 대출 회원 기준
