"year","population","gdp_total","gdp_per_capita","life_expectancy"
2000,6143493806,63768709192517,10393,67.38
2001,6222626531,65282418367525,10505,67.72
2002,6301773172,67105394281616,10662,68
2003,6381185141,69637020460839,10927,68.33
2004,6461159391,73313677924488,11361,68.65
2005,6541906956,76787380192583,11753,69.03
2006,6623517917,80873513302486,12226,69.54
2007,6705946643,85185196043920,12719,69.94
2008,6789088672,87623664631056,12923,70.15
2009,6872766988,87321236142801,12721,70.56
2010,6956823588,91859006630931,13220,70.75
2011,7041194168,95536587241730,13585,71.18
2012,7125827957,98734440303007,13873,71.54
2013,7210582041,102119130005154,14179,71.91
2014,7295290759,105700941789442,14506,72.16
2015,7379796967,109282788294596,14826,72.37
2016,7464021934,112948858596054,15150,72.63
2017,7547858900,117186838611778,15543,72.98
2018,7631091113,121511531189754,15941,73.2
2019,7713468205,125048046823804,16229,73.4
2020,7794798729,129221248000610,16596,73.58
