"도서관ID","도서관","시도","개관일","열람석"
"L01","누리도서관","서울특별시","2004-03-15",320
"L02","한빛도서관","서울특별시","1998-11-02",410
"L03","가람도서관","경기도","2011-06-20",250
"L04","솔빛도서관","인천광역시","2015-09-01",180
"L05","새봄도서관","강원특별자치도","2009-04-10",150
"L06","다온도서관","대전광역시","2013-12-05",280
"L07","마루도서관","대전광역시","2001-07-23",360
"L08","온새미도서관","세종특별자치시","2016-03-28",300
"L09","하늬도서관","충청남도","2007-10-16",200
"L10","초록도서관","충청남도","2012-05-30",160
"L11","별빛도서관","충청북도","2005-08-19",210
"L12","여울도서관","전북특별자치도","1999-02-11",190
"L13","바다도서관","전라남도","2010-11-25",140
"L14","이음도서관","경상남도","2014-06-09",230
"L15","푸른도서관","부산광역시","2003-09-17",340
"L16","물결도서관","울산광역시","2017-01-20",170
"L17","고운도서관","경상북도","2008-04-03",130
"L18","달빛도서관","대구광역시","2006-12-14",290
"L19","은하도서관","광주광역시","2002-10-08",260
"L20","청솔도서관","서울특별시","2019-05-24",220
