"도서관ID","도서관","2026.01","2026.02","2026.03","2026.04","2026.05","2026.06","2026.07","2026.08"
"L01","누리도서관",43391,42720,45737,46894,48687,46026,50190,48215
"L02","한빛도서관",56329,50884,59836,59961,61782,60979,69059,61530
"L03","가람도서관",30869,30792,31835,34709,36670,34585,38693,35108
"L04","솔빛도서관",20087,18423,22021,22459,24561,22446,23486,22764
"L05","새봄도서관",16810,15802,17326,19240,18848,18221,19452,18356
"L06","다온도서관",37067,32858,36450,38987,40412,40367,40459,39427
"L07","마루도서관",40575,36576,42068,45556,46808,44384,50011,44902
"L08","온새미도서관",37176,33922,40646,41489,42799,41828,42611,41275
"L09","하늬도서관",23773,23245,25896,25522,27344,26291,27956,26843
"L10","초록도서관",16157,14837,16074,18393,17993,17214,19029,17690
"L11","별빛도서관",23942,22021,25182,25133,25149,24619,26592,25318
"L12","여울도서관",19279,17805,19981,20122,21567,,,
"L13","바다도서관",13590,12897,13842,15008,15856,14411,17197,15203
"L14","이음도서관",27770,,27477,29273,31827,28013,32545,29764
"L15","푸른도서관",42992,40700,43173,48762,50858,46024,51640,47831
"L16","물결도서관",19142,17011,19467,20356,22252,19899,22099,21045
"L17","고운도서관",12365,10571,12327,13382,13056,12098,13449,12987
"L18","달빛도서관",34787,31262,36037,37579,37699,36763,39485,38420
"L19","은하도서관",29123,26970,32549,33264,33483,32021,36146,33196
"L20","청솔도서관",27227,26732,28298,30836,31218,29399,31421,30574
"L21","새솔도서관",,,,,6120,8735,9410,9022
